feeder_id,type,type_code,nozzle,x,y,angle,package,footprint,value,pick_height,pick_delay,place_height,place_delay,vacuum_detection,threshold,vision_alignment,speed,x_offset,y_offset,rotation_offset,extra
1,stack,0,2,411.86,86.65,90.00,0402,C_0402_1005Metric,100nF,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|40|40|No|No|-65|-65|-40|-40|-1|-1|0|0
2,stack,0,12,411.75,100.31,90.00,0402,C_0402_1005Metric,120pF,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|40|40|No|No|-65|-65|-40|-40|-1|-1|0|0
3,stack,0,12,410.94,113.57,90.00,0603,LED_0603_1608Metric,LED,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,4|60|60|No|No|-65|-65|-40|-40|-1|-1|0|0
4,stack,0,12,411.08,126.98,90.00,0402,R_0402_1005Metric,100k,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
5,stack,0,12,411.27,140.47,90.00,0402,R_0402_1005Metric,4k7,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
6,stack,0,12,411.53,153.78,90.00,0402,R_0402_1005Metric,220,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
7,stack,0,2,409.80,167.30,90.00,0402,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,33,1.80,100,2.80,100,Yes,0,1,60,0,0,0,2|50|40|No|No|-40|-65|-40|-40|-1|-1|0|0
8,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
9,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,60,0,0,0,2|10|10|No|No|-40|-40|-40|-40|-1|-1|0|0
10,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,60,0,0,0,2|10|10|No|No|-40|-40|-40|-40|-1|-1|0|0
11,stack,0,2,411.19,308.13,90.00,0402,R_0402_1005Metric,450k,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
12,stack,0,12,412.01,321.81,90.00,0402,R_0402_1005Metric,200k,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
13,stack,0,12,411.71,335.38,90.00,0402,R_0402_1005Metric,20k,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
14,stack,0,12,410.82,348.96,90.00,0402,R_0402_1005Metric,30k,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
15,stack,0,12,411.61,362.56,90.00,0402,R_0402_1005Metric,1k,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
16,stack,0,1,410.08,356.01,90.00,,,,0.50,0,0.00,0,No,-40,1,100,0.0,0.0,0.0,2|50|40|No|No|-40|-40|-40|-40|-1|-1|0|0
17,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
18,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
19,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
20,stack,0,12,25.19,20.31,-90.00,0402,R_0402_1005Metric,2k2,1.80,100,2.80,100,Yes,-40,1,60,0.0,0.0,0.0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
21,stack,0,12,28.89,33.85,-90.00,0603,C_0603_1608Metric,4.7uF,1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|60|40|No|No|-65|-65|-40|-40|-1|-1|0|0
22,stack,0,12,26.49,47.73,-90.00,0402,C_0402_1005Metric,1uF,1.80,100,2.80,100,Yes,0,1,60,0,0,0,2|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
23,stack,0,12,25.17,63.67,-90.00,0603,C_0603_1608Metric,10uF,1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
24,stack,0,2,25.16,77.50,-90.00,0603,RCLAMP0524PATCT,DOWO_RCLAMP0524P,1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|50|40|No|No|-65|-65|-40|-40|-1|-1|0|0
25,stack,0,3,25.03,91.15,-90.00,0603,BLM18SP221SN1B,120,1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|50|40|No|No|-65|-65|-65|-40|-1|-1|0|0
26,stack,0,12,25.67,105.07,-90.00,1206,R_1206_3216Metric,1206L150/16NR,1.80,100,3.00,100,Yes,0,1,60,0,0,0,4|50|50|No|No|-65|-65|-40|-40|-1|-1|0|0
27,stack,0,4,24.84,125.96,-90.00,,USB421603A,TYPE-C_16P_QTGM027,1.80,100,5.20,100,Yes,0,1,20,0,0,0,12|100|100|No|No|-40|-40|-65|-65|-1|-1|0|0
28,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,60,0,0,0,2|10|10|No|No|-40|-40|-40|-40|-1|-1|0|0
29,stack,0,3,25.40,147.50,-90.00,,INDC2016X80N,TFM201610ALC-R47MTAA,1.90,100,1.80,100,Yes,0,1,60,0,0,0,4|50|60|No|No|-40|-40|-65|-40|-1|-1|0|0
30,stack,0,2,25.57,161.38,90.00,,L3F,SSM3K36MFV,1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|50|40|No|No|-40|-65|-40|-40|-1|-1|0|0
31,stack,0,2,24.63,175.38,-90.00,,R_0402_1005Metric,5k1,1.80,100,2.80,100,Yes,0,1,60,0,0,0,2|50|40|No|No|-40|-65|-40|-40|-1|-1|0|0
32,stack,0,,24.89,188.51,-90.00,,TLV62595DMQR,TLV62595DMQR,1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|50|50|No|No|-40|-40|-40|-40|-1|-1|0|0
33,stack,0,3,24.72,206.44,-90.00,,EG1215AA,ALPSALPINE_SSSS811101,1.00,100,3.60,100,Yes,0,1,60,0,0,0,8|50|60|No|No|-40|-40|-65|-40|-1|-1|0|0
34,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
35,stack,0,3,25.45,223.96,-90.00,,CX3225FB25000F0FZZH1,Y322525MNCCZ,1.80,100,2.80,100,No,0,1,60,0,0,0,4|50|50|No|No|-40|-40|-65|-40|-1|-1|0|0
36,stack,0,3,23.74,239.25,0.00,QFN32,QFN50P400X400X80-25N-D,AW9523BTQR,1.80,100,2.80,0,Yes,0,1,60,0,0,0,8|80|40|No|No|-40|-40|-60|-40|-1|-1|0|0
37,stack,0,2,24.83,254.78,90.00,,SOT65P210X110-6N,TPS22919DCKR,1.80,100,2.80,190,No,0,1,60,0,0,0,4|50|60|No|No|-40|-40|-40|-40|-1|-1|0|0
38,stack,0,2,25.11,268.38,90.00,0402,R_0402_1005Metric,316k,1.80,100,1.80,100,No,0,1,60,0,0,0,2|50|50|No|No|-40|-65|-40|-40|-1|-1|0|0
39,stack,0,2,26.99,281.69,90.00,0402,R_0402_1005Metric,33,1.80,100,2.80,100,Yes,0,1,60,0,0,0,2|50|40|No|No|-40|-65|-40|-40|-1|-1|0|0
40,stack,0,2,27.23,295.83,90.00,0402,R_0402_1005Metric,82k5,1.80,100,2.80,100,No,0,1,60,0,0,0,2|50|40|No|No|-40|-65|-40|-40|-1|-1|0|0
41,stack,0,2,27.26,309.40,90.00,0402,R_0402_1005Metric,33k,1.80,100,2.80,100,No,0,1,60,0,0,0,2|50|40|No|No|-40|-65|-40|-40|-1|-1|0|0
42,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,60,0,0,0,2|10|10|No|No|-40|-40|-40|-40|-1|-1|0|0
43,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
44,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
45,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
46,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
47,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
