#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,
stack,1,0,12,411.86,86.65,90.00,0402,C_0402_1005Metric/100nF,1.80,100,2.00,100,Yes,-40,1,60,2,40,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,2,0,12,411.75,100.31,90.00,0402,C_0402_1005Metric/120pF,1.80,100,2.00,100,Yes,-40,1,60,2,40,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,3,0,12,410.94,113.57,90.00,0603,LED_0603_1608Metric/LED,1.80,100,1.80,100,Yes,-40,1,60,4,60,60,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,4,0,12,411.08,126.98,90.00,0402,R_0402_1005Metric/100k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,5,0,12,411.27,140.47,90.00,0402,R_0402_1005Metric/4k7,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,6,0,12,411.53,153.78,90.00,0402,R_0402_1005Metric/220,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,7,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,8,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,9,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,10,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,11,0,12,411.19,308.13,90.00,0402,R_0402_1005Metric/450k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,12,0,12,412.01,321.81,90.00,0402,R_0402_1005Metric/200k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,13,0,12,411.71,335.38,90.00,0402,R_0402_1005Metric/20k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,14,0,12,410.82,348.96,90.00,0402,R_0402_1005Metric/30k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,15,0,12,411.61,362.56,90.00,0402,R_0402_1005Metric/1k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,16,0,1,410.08,356.01,90.00,,,0.50,0,0.00,0,No,-40,1,100,2,50,40,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,17,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,18,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,19,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,20,0,12,25.19,20.31,-90.00,0402,R_0402_1005Metric/2k2,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,21,0,12,28.89,33.85,-90.00,0603,C_0603_1608Metric/4.7uF,1.80,100,1.80,100,Yes,0,1,60,4,60,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,22,0,12,26.49,47.73,-90.00,0402,C_0402_1005Metric/1uF,1.80,100,2.00,100,Yes,0,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,23,0,12,25.17,63.67,-90.00,0603,C_0603_1608Metric/10uF,1.80,100,1.80,100,Yes,0,1,60,4,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,24,0,12,25.16,77.50,-90.00,0603,RCLAMP0524PATCT/DOWO_RCLAMP0524P,1.80,100,1.80,100,Yes,0,1,60,4,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,25,0,12,25.03,91.15,-90.00,0603,BLM18SP221SN1B/120,1.80,100,1.80,100,Yes,0,1,60,4,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,26,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,27,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,28,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,29,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,30,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,31,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,32,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,33,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,34,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,35,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,36,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,37,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,38,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,39,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,40,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,41,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,42,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,43,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,44,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,45,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,46,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,47,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,48,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
mark,Whole,Auto,264.007,40.9539,326.113,121.128,263.626,120.935,326.353,41.2423,
markext,0,0.8,3,1,75,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
test,No,
mirror_create,1,1,286.43,58.21,0,0,0,0,0,
mirror,286.34,58.20,0,No,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,21,1,C1,4.7uF,C_0603_1608Metric,305.62,94.46,0.00,No,
comp,21,1,C1,4.7uF,C_0603_1608Metric,305.62,57.91,0.00,No,
comp,1,1,C2,100nF,C_0402_1005Metric,320.37,55.34,90.00,No,
comp,1,1,C2,100nF,C_0402_1005Metric,320.37,91.89,90.00,No,
comp,1,1,C3,100nF,C_0402_1005Metric,318.53,55.34,90.00,No,
comp,1,1,C3,100nF,C_0402_1005Metric,318.53,91.89,90.00,No,
comp,1,1,C5,100nF,C_0402_1005Metric,322.73,91.67,-90.00,No,
comp,1,1,C5,100nF,C_0402_1005Metric,322.73,55.11,-90.00,No,
comp,1,1,C6,100nF,C_0402_1005Metric,305.62,95.73,0.00,No,
comp,1,1,C6,100nF,C_0402_1005Metric,305.62,59.18,0.00,No,
comp,1,1,C8,100nF,C_0402_1005Metric,320.80,63.02,0.00,No,
comp,1,1,C8,100nF,C_0402_1005Metric,320.80,99.58,0.00,No,
comp,1,1,C9,100nF,C_0402_1005Metric,302.26,56.66,0.00,No,
comp,1,1,C9,100nF,C_0402_1005Metric,302.26,93.22,0.00,No,
comp,1,1,C11,100nF,C_0402_1005Metric,317.47,100.95,-90.00,No,
comp,1,1,C11,100nF,C_0402_1005Metric,317.47,64.40,-90.00,No,
comp,1,1,C12,10nF,C_0402_1005Metric,302.26,57.58,0.00,No,
comp,1,1,C12,10nF,C_0402_1005Metric,302.26,94.14,0.00,No,
comp,22,1,C13,1uF,C_0402_1005Metric,302.26,95.06,0.00,No,
comp,22,1,C13,1uF,C_0402_1005Metric,302.26,58.50,0.00,No,
comp,1,1,C15,100nF,C_0402_1005Metric,313.19,64.40,-90.00,No,
comp,1,1,C15,100nF,C_0402_1005Metric,313.19,100.95,-90.00,No,
comp,1,1,C23,100nF,C_0402_1005Metric,314.11,64.40,-90.00,No,
comp,1,1,C23,100nF,C_0402_1005Metric,314.11,100.95,-90.00,No,
comp,1,1,C24,100nF,C_0402_1005Metric,311.99,58.73,180.00,No,
comp,1,1,C24,100nF,C_0402_1005Metric,311.99,95.28,180.00,No,
comp,1,1,C25,100nF,C_0402_1005Metric,320.65,64.40,-90.00,No,
comp,1,1,C25,100nF,C_0402_1005Metric,320.65,100.95,-90.00,No,
comp,1,1,C26,100nF,C_0402_1005Metric,320.80,94.12,0.00,No,
comp,1,1,C26,100nF,C_0402_1005Metric,320.80,57.57,0.00,No,
comp,1,1,C27,100nF,C_0402_1005Metric,320.80,97.14,0.00,No,
comp,1,1,C27,100nF,C_0402_1005Metric,320.80,60.59,0.00,No,
comp,1,1,C28,100nF,C_0402_1005Metric,314.46,91.77,90.00,No,
comp,1,1,C28,100nF,C_0402_1005Metric,314.46,55.21,90.00,No,
comp,1,1,C29,100nF,C_0402_1005Metric,311.96,55.21,90.00,No,
comp,1,1,C29,100nF,C_0402_1005Metric,311.96,91.77,90.00,No,
comp,23,1,C30,10uF,C_0603_1608Metric,313.27,51.71,-90.00,No,
comp,23,1,C30,10uF,C_0603_1608Metric,313.27,88.27,-90.00,No,
comp,23,1,C31,10uF,C_0603_1608Metric,321.43,88.59,90.00,No,
comp,23,1,C31,10uF,C_0603_1608Metric,321.43,52.03,90.00,No,
comp,1,1,C35,100nF,C_0402_1005Metric,315.04,100.95,-90.00,No,
comp,1,1,C35,100nF,C_0402_1005Metric,315.04,64.40,-90.00,No,
comp,1,1,C36,100nF,C_0402_1005Metric,320.80,59.07,0.00,No,
comp,1,1,C36,100nF,C_0402_1005Metric,320.80,95.62,0.00,No,
comp,1,1,C37,100nF,C_0402_1005Metric,315.46,55.21,90.00,No,
comp,1,1,C37,100nF,C_0402_1005Metric,315.46,91.77,90.00,No,
comp,1,1,C38,100nF,C_0402_1005Metric,319.70,100.95,-90.00,No,
comp,1,1,C38,100nF,C_0402_1005Metric,319.70,64.40,-90.00,No,
comp,1,1,C39,100nF,C_0402_1005Metric,319.45,55.34,90.00,No,
comp,1,1,C39,100nF,C_0402_1005Metric,319.45,91.89,90.00,No,
comp,1,1,C53,100nF,C_0402_1005Metric,333.48,58.49,180.00,No,
comp,1,1,C53,100nF,C_0402_1005Metric,333.48,95.05,180.00,No,
comp,1,1,C54,100nF,C_0402_1005Metric,328.86,92.45,-90.00,No,
comp,1,1,C54,100nF,C_0402_1005Metric,328.86,55.90,-90.00,No,
comp,23,1,C55,10uF,C_0603_1608Metric,308.37,105.23,90.00,No,
comp,23,1,C55,10uF,C_0603_1608Metric,308.37,68.67,90.00,No,
comp,23,1,C57,10uF,C_0603_1608Metric,309.83,68.67,90.00,No,
comp,23,1,C57,10uF,C_0603_1608Metric,309.83,105.23,90.00,No,
comp,23,1,C58,10uF,C_0603_1608Metric,308.06,62.59,90.00,No,
comp,23,1,C58,10uF,C_0603_1608Metric,308.06,99.14,90.00,No,
comp,23,1,C59,10uF,C_0603_1608Metric,308.19,66.40,0.00,No,
comp,23,1,C59,10uF,C_0603_1608Metric,308.19,102.95,0.00,No,
comp,1,1,C60,2.2uF,C_0402_1005Metric,307.88,60.64,0.00,No,
comp,1,1,C60,2.2uF,C_0402_1005Metric,307.88,97.19,0.00,No,
comp,1,1,C61,100nF,C_0402_1005Metric,312.21,62.49,-90.00,No,
comp,1,1,C61,100nF,C_0402_1005Metric,312.21,99.05,-90.00,No,
comp,1,1,C62,100nF,C_0402_1005Metric,313.19,99.05,-90.00,No,
comp,1,1,C62,100nF,C_0402_1005Metric,313.19,62.49,-90.00,No,
comp,1,1,C63,100nF,C_0402_1005Metric,311.21,100.89,90.00,No,
comp,1,1,C63,100nF,C_0402_1005Metric,311.21,64.33,90.00,No,
comp,1,1,C65,100nF,C_0402_1005Metric,311.99,96.22,180.00,No,
comp,1,1,C65,100nF,C_0402_1005Metric,311.99,59.66,180.00,No,
comp,23,1,C66,10uF,C_0603_1608Metric,320.45,68.30,-90.00,No,
comp,23,1,C66,10uF,C_0603_1608Metric,320.45,104.85,-90.00,No,
comp,23,1,C68,10uF,C_0603_1608Metric,318.99,68.30,-90.00,No,
comp,23,1,C68,10uF,C_0603_1608Metric,318.99,104.85,-90.00,No,
comp,24,1,D2,DOWO_RCLAMP0524P,RCLAMP0524PATCT,274.48,56.81,180.00,No,
comp,24,1,D2,DOWO_RCLAMP0524P,RCLAMP0524PATCT,274.48,93.37,180.00,No,
comp,0,1,F1,1206L150/16NR,R_1206_3216Metric,283.56,90.51,180.00,No,
comp,0,1,F1,1206L150/16NR,R_1206_3216Metric,283.56,53.95,180.00,No,
comp,25,1,FB1,120,BLM18SP221SN1B,317.43,104.84,-90.00,No,
comp,25,1,FB1,120,BLM18SP221SN1B,317.43,68.29,-90.00,No,
comp,25,1,FB2,120,BLM18SP221SN1B,319.73,88.59,90.00,No,
comp,25,1,FB2,120,BLM18SP221SN1B,319.73,52.03,90.00,No,
comp,25,1,FB3,120,BLM18SP221SN1B,309.55,62.00,90.00,No,
comp,25,1,FB3,120,BLM18SP221SN1B,309.55,98.56,90.00,No,
comp,25,1,FB4,120,BLM18SP221SN1B,312.12,66.87,-90.00,No,
comp,25,1,FB4,120,BLM18SP221SN1B,312.12,103.42,-90.00,No,
comp,0,1,J1,TYPE-C_16P_QTGM027,USB421603A,274.20,49.57,180.00,No,
comp,0,1,J1,TYPE-C_16P_QTGM027,USB421603A,274.20,86.13,180.00,No,
comp,0,1,J2,DF40C-50DP-0.4V_51_,DF40C50DP04V51,316.21,112.89,180.00,No,
comp,0,1,J2,DF40C-50DP-0.4V_51_,DF40C50DP04V51,316.21,76.33,180.00,No,
comp,0,1,J3,HCTL_PM254-2-05-W-8.5,PinSocket_2x05_P2.54mm_Horizontal,280.60,57.72,0.00,No,
comp,0,1,J3,HCTL_PM254-2-05-W-8.5,PinSocket_2x05_P2.54mm_Horizontal,280.60,94.28,0.00,No,
comp,0,1,J4,PM254-2-08-W-8.5,PinSocket_2x08_P2.54mm_Horizontal,266.72,71.70,180.00,No,
comp,0,1,J4,PM254-2-08-W-8.5,PinSocket_2x08_P2.54mm_Horizontal,266.72,108.26,180.00,No,
comp,5,1,R1,4k7,R_0402_1005Metric,308.62,55.71,180.00,No,
comp,5,1,R1,4k7,R_0402_1005Metric,308.62,92.27,180.00,No,
