#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,
stack,1,0,12,411.86,86.65,90.00,0402,C_0402_1005Metric/100nF,1.80,100,2.00,100,Yes,-40,1,60,2,40,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,2,0,12,411.75,100.31,90.00,0402,C_0402_1005Metric/120pF,1.80,100,2.00,100,Yes,-40,1,60,2,40,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,3,0,12,410.94,113.57,90.00,0603,LED_0603_1608Metric/LED,1.80,100,1.80,100,Yes,-40,1,60,4,60,60,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,4,0,12,411.08,126.98,90.00,0402,R_0402_1005Metric/100k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,5,0,12,411.27,140.47,90.00,0402,R_0402_1005Metric/4k7,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,6,0,12,411.53,153.78,90.00,0402,R_0402_1005Metric/220,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,7,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,8,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,9,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,10,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,11,0,12,411.19,308.13,90.00,0402,R_0402_1005Metric/450k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,12,0,12,412.01,321.81,90.00,0402,R_0402_1005Metric/200k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,13,0,12,411.71,335.38,90.00,0402,R_0402_1005Metric/20k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,14,0,12,410.82,348.96,90.00,0402,R_0402_1005Metric/30k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,15,0,12,411.61,362.56,90.00,0402,R_0402_1005Metric/1k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,16,0,1,410.08,356.01,90.00,,,0.50,0,0.00,0,No,-40,1,100,2,50,40,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,17,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,18,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,19,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,20,0,12,25.19,20.31,-90.00,0402,R_0402_1005Metric/2k2,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,21,0,12,28.89,33.85,-90.00,0603,C_0603_1608Metric/4.7uF,1.80,100,1.80,100,Yes,0,1,60,4,60,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,22,0,12,26.49,47.73,-90.00,0402,C_0402_1005Metric/1uF,1.80,100,2.00,100,Yes,0,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,23,0,12,25.17,63.67,-90.00,0603,C_0603_1608Metric/10uF,1.80,100,1.80,100,Yes,0,1,60,4,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,24,0,12,25.16,77.50,-90.00,0603,RCLAMP0524PATCT/DOWO_RCLAMP0524P,1.80,100,1.80,100,Yes,0,1,60,4,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,25,0,12,25.03,91.15,-90.00,0603,BLM18SP221SN1B/120,1.80,100,1.80,100,Yes,0,1,60,4,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,26,0,12,25.71,105.04,-90.00,1206,R_1206_3216Metric/1206L150/16NR,1.80,100,2.60,100,Yes,0,1,60,2,10,10,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,27,0,4,25.30,125.94,-90.00,,USB421603A/TYPE-C_16P_QTGM027,1.80,100,5.20,100,Yes,0,1,20,12,100,100,No,No,-40,-40,-65,-65,-1,-1,0,0,
stack,28,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,29,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,30,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,31,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,32,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,33,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,34,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,35,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,36,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,37,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,38,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,39,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,40,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,41,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,42,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,43,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,44,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,45,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,46,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,47,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,48,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
mark,Whole,Auto,264.007,40.9539,326.113,121.128,263.626,120.935,326.353,41.2423,
markext,0,0.8,3,1,75,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
test,No,
mirror_create,1,1,286.43,58.21,0,0,0,0,0,
mirror,305.62,94.46,0,No,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,21,1,C1,4.7uF,C_0603_1608Metric,305.84,94.39,0.00,No,
comp,21,2,C1,4.7uF,C_0603_1608Metric,305.87,57.86,0.00,No,
comp,1,1,C2,100nF,C_0402_1005Metric,320.61,55.27,90.00,No,
comp,1,2,C2,100nF,C_0402_1005Metric,320.57,91.80,90.00,No,
comp,1,1,C3,100nF,C_0402_1005Metric,318.74,55.30,90.00,No,
comp,1,2,C3,100nF,C_0402_1005Metric,318.69,91.82,90.00,No,
comp,1,1,C5,100nF,C_0402_1005Metric,322.76,91.63,-90.00,No,
comp,1,2,C5,100nF,C_0402_1005Metric,322.86,55.09,-90.00,No,
comp,1,1,C6,100nF,C_0402_1005Metric,305.78,95.68,0.00,No,
comp,1,2,C6,100nF,C_0402_1005Metric,305.87,59.14,0.00,No,
comp,1,1,C8,100nF,C_0402_1005Metric,321.02,63.00,0.00,No,
comp,1,2,C8,100nF,C_0402_1005Metric,320.91,99.59,0.00,No,
comp,1,1,C9,100nF,C_0402_1005Metric,302.54,56.65,0.00,No,
comp,1,2,C9,100nF,C_0402_1005Metric,302.45,93.17,0.00,No,
comp,1,1,C11,100nF,C_0402_1005Metric,317.54,100.85,-90.00,No,
comp,1,2,C11,100nF,C_0402_1005Metric,317.65,64.35,-90.00,No,
comp,1,1,C12,10nF,C_0402_1005Metric,302.52,57.54,0.00,No,
comp,1,2,C12,10nF,C_0402_1005Metric,302.44,94.03,0.00,No,
comp,22,1,C13,1uF,C_0402_1005Metric,302.45,94.97,0.00,No,
comp,22,2,C13,1uF,C_0402_1005Metric,302.49,58.44,0.00,No,
comp,1,1,C15,100nF,C_0402_1005Metric,313.32,64.39,-90.00,No,
comp,1,2,C15,100nF,C_0402_1005Metric,313.32,100.88,-90.00,No,
comp,1,2,C23,100nF,C_0402_1005Metric,314.31,64.36,-90.00,No,
comp,1,1,C23,100nF,C_0402_1005Metric,314.17,100.91,-90.00,No,
comp,1,2,C24,100nF,C_0402_1005Metric,312.24,58.69,180.00,No,
comp,1,1,C24,100nF,C_0402_1005Metric,312.12,95.28,180.00,No,
comp,1,2,C25,100nF,C_0402_1005Metric,320.76,64.36,-90.00,No,
comp,1,1,C25,100nF,C_0402_1005Metric,320.65,100.88,-90.00,No,
comp,1,2,C26,100nF,C_0402_1005Metric,320.87,94.08,0.00,No,
comp,1,1,C26,100nF,C_0402_1005Metric,320.93,57.60,0.00,No,
comp,1,2,C27,100nF,C_0402_1005Metric,320.92,97.14,0.00,No,
comp,1,1,C27,100nF,C_0402_1005Metric,321.01,60.57,0.00,No,
comp,1,2,C28,100nF,C_0402_1005Metric,314.47,91.72,90.00,No,
comp,1,1,C28,100nF,C_0402_1005Metric,314.56,55.22,90.00,No,
comp,1,2,C29,100nF,C_0402_1005Metric,312.12,55.17,90.00,No,
comp,1,1,C29,100nF,C_0402_1005Metric,312.02,91.71,90.00,No,
comp,23,2,C30,10uF,C_0603_1608Metric,313.43,51.66,-90.00,No,
comp,23,1,C30,10uF,C_0603_1608Metric,313.26,88.24,-90.00,No,
comp,23,2,C31,10uF,C_0603_1608Metric,321.43,88.55,90.00,No,
comp,23,1,C31,10uF,C_0603_1608Metric,321.59,52.02,90.00,No,
comp,1,2,C35,100nF,C_0402_1005Metric,315.08,100.86,-90.00,No,
comp,1,1,C35,100nF,C_0402_1005Metric,315.16,64.34,-90.00,No,
comp,1,2,C36,100nF,C_0402_1005Metric,320.96,59.07,0.00,No,
comp,1,1,C36,100nF,C_0402_1005Metric,320.92,95.63,0.00,No,
comp,1,2,C37,100nF,C_0402_1005Metric,315.58,55.13,90.00,No,
comp,1,1,C37,100nF,C_0402_1005Metric,315.48,91.72,90.00,No,
comp,1,2,C38,100nF,C_0402_1005Metric,319.71,100.92,-90.00,No,
comp,1,1,C38,100nF,C_0402_1005Metric,319.81,64.42,-90.00,No,
comp,1,2,C39,100nF,C_0402_1005Metric,319.54,55.32,90.00,No,
comp,1,1,C39,100nF,C_0402_1005Metric,319.45,91.89,90.00,No,
comp,1,2,C53,100nF,C_0402_1005Metric,333.67,58.48,180.00,No,
comp,1,1,C53,100nF,C_0402_1005Metric,333.57,95.04,180.00,No,
comp,1,2,C54,100nF,C_0402_1005Metric,328.92,92.43,-90.00,No,
comp,1,1,C54,100nF,C_0402_1005Metric,328.95,55.96,-90.00,No,
comp,23,2,C55,10uF,C_0603_1608Metric,308.48,105.22,90.00,No,
comp,23,1,C55,10uF,C_0603_1608Metric,308.55,68.65,90.00,No,
comp,23,2,C57,10uF,C_0603_1608Metric,310.04,68.63,90.00,No,
comp,23,1,C57,10uF,C_0603_1608Metric,309.94,105.23,90.00,No,
comp,23,2,C58,10uF,C_0603_1608Metric,308.26,62.51,90.00,No,
comp,23,1,C58,10uF,C_0603_1608Metric,308.23,99.09,90.00,No,
comp,23,2,C59,10uF,C_0603_1608Metric,308.33,66.39,0.00,No,
comp,23,1,C59,10uF,C_0603_1608Metric,308.32,102.94,0.00,No,
comp,1,2,C60,2.2uF,C_0402_1005Metric,308.10,60.56,0.00,No,
comp,1,1,C60,2.2uF,C_0402_1005Metric,308.08,97.09,0.00,No,
comp,1,2,C61,100nF,C_0402_1005Metric,312.28,62.50,-90.00,No,
comp,1,1,C61,100nF,C_0402_1005Metric,312.25,99.02,-90.00,No,
comp,1,2,C62,100nF,C_0402_1005Metric,313.22,98.99,-90.00,No,
comp,1,1,C62,100nF,C_0402_1005Metric,313.35,62.43,-90.00,No,
comp,1,2,C63,100nF,C_0402_1005Metric,311.22,100.82,90.00,No,
comp,1,1,C63,100nF,C_0402_1005Metric,311.33,64.27,90.00,No,
comp,1,2,C65,100nF,C_0402_1005Metric,312.11,96.16,180.00,No,
comp,1,1,C65,100nF,C_0402_1005Metric,312.23,59.59,180.00,No,
comp,23,2,C66,10uF,C_0603_1608Metric,320.52,68.22,-90.00,No,
comp,23,1,C66,10uF,C_0603_1608Metric,320.42,104.79,-90.00,No,
comp,23,2,C68,10uF,C_0603_1608Metric,319.15,68.21,-90.00,No,
comp,23,1,C68,10uF,C_0603_1608Metric,319.03,104.79,-90.00,No,
comp,24,2,D2,DOWO_RCLAMP0524P,RCLAMP0524PATCT,274.79,56.66,180.00,No,
comp,24,1,D2,DOWO_RCLAMP0524P,RCLAMP0524PATCT,274.69,93.20,180.00,No,
comp,26,2,F1,1206L150/16NR,R_1206_3216Metric,283.79,90.43,180.00,No,
comp,26,1,F1,1206L150/16NR,R_1206_3216Metric,283.87,53.87,180.00,No,
comp,25,2,FB1,120,BLM18SP221SN1B,317.47,104.80,-90.00,No,
comp,25,1,FB1,120,BLM18SP221SN1B,317.56,68.29,-90.00,No,
comp,25,2,FB2,120,BLM18SP221SN1B,319.80,88.55,90.00,No,
comp,25,1,FB2,120,BLM18SP221SN1B,319.88,52.05,90.00,No,
comp,25,2,FB3,120,BLM18SP221SN1B,309.70,61.99,90.00,No,
comp,25,1,FB3,120,BLM18SP221SN1B,309.63,98.53,90.00,No,
comp,25,2,FB4,120,BLM18SP221SN1B,312.24,66.86,-90.00,No,
comp,25,1,FB4,120,BLM18SP221SN1B,312.19,103.39,-90.00,No,
comp,27,4,J1,TYPE-C_16P_QTGM027,USB421603A,274.51,49.86,180.00,No,
comp,27,4,J1,TYPE-C_16P_QTGM027,USB421603A,274.41,86.57,180.00,No,
comp,0,1,J2,DF40C-50DP-0.4V_51_,DF40C50DP04V51,316.21,112.89,180.00,Yes,
comp,0,1,J2,DF40C-50DP-0.4V_51_,DF40C50DP04V51,316.21,76.33,180.00,Yes,
comp,5,1,R1,4k7,R_0402_1005Metric,308.85,55.67,180.00,No,
comp,5,1,R1,4k7,R_0402_1005Metric,308.76,92.29,180.00,No,
comp,5,1,R3,4k7,R_0402_1005Metric,308.81,93.17,180.00,No,
comp,5,1,R3,4k7,R_0402_1005Metric,308.85,56.62,180.00,No,
comp,5,1,R5,4k7,R_0402_1005Metric,308.83,57.56,180.00,No,
comp,5,1,R5,4k7,R_0402_1005Metric,308.81,94.09,180.00,No,
comp,5,1,R7,4k7,R_0402_1005Metric,323.07,99.15,-90.00,No,
comp,5,1,R7,4k7,R_0402_1005Metric,323.10,62.59,-90.00,No,
