#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,
stack,1,0,12,411.86,86.65,90.00,0402,C_0402_1005Metric/100nF,1.80,100,2.00,100,Yes,-40,1,60,2,40,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,2,0,12,411.75,100.31,90.00,0402,C_0402_1005Metric/120pF,1.80,100,2.00,100,Yes,-40,1,60,2,40,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,3,0,12,410.94,113.57,90.00,0603,LED_0603_1608Metric/LED,1.80,100,1.80,100,Yes,-40,1,60,4,60,60,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,4,0,12,411.08,126.98,90.00,0402,R_0402_1005Metric/100k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,5,0,12,411.27,140.47,90.00,0402,R_0402_1005Metric/4k7,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,6,0,12,411.53,153.78,90.00,0402,R_0402_1005Metric/220,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,7,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,8,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,9,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,10,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,11,0,12,411.19,308.13,90.00,0402,R_0402_1005Metric/450k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,12,0,12,412.01,321.81,90.00,0402,R_0402_1005Metric/200k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,13,0,12,411.71,335.38,90.00,0402,R_0402_1005Metric/20k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,14,0,12,410.82,348.96,90.00,0402,R_0402_1005Metric/30k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,15,0,12,411.61,362.56,90.00,0402,R_0402_1005Metric/1k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,16,0,1,410.08,356.01,90.00,,,0.50,0,0.00,0,No,-40,1,100,2,50,40,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,17,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,18,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,19,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,20,0,12,25.19,20.31,-90.00,0402,R_0402_1005Metric/2k2,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,21,0,12,28.89,33.85,-90.00,0603,C_0603_1608Metric/4.7uF,1.80,100,1.80,100,Yes,0,1,60,4,60,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,22,0,12,26.49,47.73,-90.00,0402,C_0402_1005Metric/1uF,1.80,100,2.00,100,Yes,0,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,23,0,12,25.17,63.67,-90.00,0603,C_0603_1608Metric/10uF,1.80,100,1.80,100,Yes,0,1,60,4,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,24,0,12,25.16,77.50,-90.00,0603,RCLAMP0524PATCT/DOWO_RCLAMP0524P,1.80,100,1.80,100,Yes,0,1,60,4,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,25,0,12,25.03,91.15,-90.00,0603,BLM18SP221SN1B/120,1.80,100,1.80,100,Yes,0,1,60,4,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,26,0,12,25.71,105.04,-90.00,1206,R_1206_3216Metric/1206L150/16NR,1.80,100,2.60,100,Yes,0,1,60,2,10,10,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,27,0,4,25.30,125.94,-90.00,,USB421603A/TYPE-C_16P_QTGM027,1.80,100,5.20,100,Yes,0,1,20,12,100,100,No,No,-40,-40,-65,-65,-1,-1,0,0,
stack,28,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,29,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,30,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,31,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,32,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,33,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,34,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,35,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,36,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,37,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,38,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,39,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,40,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,41,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,42,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,43,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,44,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,45,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,46,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,47,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,48,0,,0.00,0.00,0.00,,,0.00,0,0.00,0,No,0,0,0,0,0,0,No,No,-40,-40,-40,-40,-1,-1,0,0,
pcb,Manual,Trace,100,100,350,150,Front,10,10,0,
mark,Whole,Auto,280.558,66.9296,343.037,146.765,342.925,66.8234,326.353,41.2423,
markext,0,0.8,3,1,75,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
test,No,
mirror_create,1,1,286.43,58.21,0,0,0,0,0,
mirror,286.34,58.20,0,No,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,1,1,C4,100nF,C_0402_1005Metric,303.05,84.05,-90.00,No,
comp,1,1,C4,100nF,C_0402_1005Metric,143.79,-83.62,-90.00,No,
comp,23,1,C7,10uF,C_0603_1608Metric,155.63,-77.84,90.00,No,
comp,23,1,C7,10uF,C_0603_1608Metric,155.63,-114.41,90.00,No,
comp,21,1,C10,4.7uF,C_0603_1608Metric,161.18,-114.90,180.00,No,
comp,21,1,C10,4.7uF,C_0603_1608Metric,161.18,-78.34,180.00,No,
comp,1,1,C14,100nF,C_0402_1005Metric,146.27,-111.89,0.00,No,
comp,1,1,C14,100nF,C_0402_1005Metric,146.27,-75.33,0.00,No,
comp,1,1,C32,100nF,C_0402_1005Metric,134.97,-128.94,180.00,No,
comp,1,1,C32,100nF,C_0402_1005Metric,134.97,-92.39,180.00,No,
comp,23,1,C34,10uF,C_0603_1608Metric,157.09,-77.84,90.00,No,
comp,23,1,C34,10uF,C_0603_1608Metric,157.09,-114.41,90.00,No,
comp,23,1,C41,10uF,C_0603_1608Metric,158.54,-114.41,90.00,No,
comp,23,1,C41,10uF,C_0603_1608Metric,158.54,-77.84,90.00,No,
comp,2,1,C42,120pF,C_0402_1005Metric,159.09,-110.42,0.00,No,
comp,2,1,C42,120pF,C_0402_1005Metric,159.09,-73.86,0.00,No,
comp,21,1,C43,4.7uF,C_0603_1608Metric,118.31,-103.33,-90.00,No,
comp,21,1,C43,4.7uF,C_0603_1608Metric,118.31,-66.78,-90.00,No,
comp,23,1,C44,10uF,C_0603_1608Metric,117.82,-108.88,180.00,No,
comp,23,1,C44,10uF,C_0603_1608Metric,117.82,-72.33,180.00,No,
comp,23,1,C45,10uF,C_0603_1608Metric,117.82,-70.87,180.00,No,
comp,23,1,C45,10uF,C_0603_1608Metric,117.82,-107.42,180.00,No,
comp,23,1,C46,10uF,C_0603_1608Metric,117.82,-105.97,180.00,No,
comp,23,1,C46,10uF,C_0603_1608Metric,117.82,-69.42,180.00,No,
comp,2,1,C47,120pF,C_0402_1005Metric,113.83,-105.42,-90.00,No,
comp,2,1,C47,120pF,C_0402_1005Metric,113.83,-68.87,-90.00,No,
comp,21,1,C48,4.7uF,C_0603_1608Metric,147.72,-105.30,180.00,No,
comp,21,1,C48,4.7uF,C_0603_1608Metric,147.72,-68.74,180.00,No,
comp,23,1,C49,10uF,C_0603_1608Metric,145.09,-104.80,90.00,No,
comp,23,1,C49,10uF,C_0603_1608Metric,145.09,-68.25,90.00,No,
comp,23,1,C50,10uF,C_0603_1608Metric,143.63,-104.80,90.00,No,
comp,23,1,C50,10uF,C_0603_1608Metric,143.63,-68.25,90.00,No,
comp,23,1,C51,10uF,C_0603_1608Metric,142.18,-68.25,90.00,No,
comp,23,1,C51,10uF,C_0603_1608Metric,142.18,-104.80,90.00,No,
comp,2,1,C52,120pF,C_0402_1005Metric,145.63,-100.81,180.00,No,
comp,2,1,C52,120pF,C_0402_1005Metric,145.63,-64.26,180.00,No,
comp,0,1,D1,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,163.75,-100.00,180.00,No,
comp,24,1,D1,DOWO_RCLAMP0524P,RCLAMP0524PATCT,131.25,-69.36,0.00,No,
comp,24,1,D1,DOWO_RCLAMP0524P,RCLAMP0524PATCT,131.25,-105.92,0.00,No,
comp,0,1,D1,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,163.75,-63.45,180.00,No,
comp,24,1,D2,DOWO_RCLAMP0524P,RCLAMP0524PATCT,133.99,-105.92,0.00,No,
comp,24,1,D2,DOWO_RCLAMP0524P,RCLAMP0524PATCT,133.99,-69.36,0.00,No,
comp,0,1,D3,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,184.10,-63.45,180.00,No,
comp,0,1,D3,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,184.10,-100.00,180.00,No,
comp,25,1,FB6,120,BLM18SP221SN1B,139.28,-82.52,180.00,No,
comp,25,1,FB6,120,BLM18SP221SN1B,139.28,-119.08,180.00,No,
comp,0,1,IC1,LIFCL-17-7SG72C_ab,QFN50P1000X1000X90-73N-D,131.25,-82.09,-90.00,No,
comp,0,1,IC1,LIFCL-17-7SG72C_ab,QFN50P1000X1000X90-73N-D,131.25,-118.64,-90.00,No,
comp,0,1,IC2,S25FS128SAGNFI100,SON127P600X500X80-9N-D,140.49,-127.09,180.00,No,
comp,0,1,IC2,S25FS128SAGNFI100,SON127P600X500X80-9N-D,140.49,-90.54,180.00,No,
comp,0,1,IC3,STM32U083KCU6,QFN50P500X500X60-33N-D,144.04,-79.02,90.00,No,
comp,0,1,IC3,STM32U083KCU6,QFN50P500X500X60-33N-D,144.04,-115.58,90.00,No,
comp,0,1,IC5,IS66WVH16M8DALL-166B1LI,BGA24C100P5X5_600X800X100,117.58,-118.98,0.00,No,
comp,0,1,IC5,IS66WVH16M8DALL-166B1LI,BGA24C100P5X5_600X800X100,117.58,-82.42,0.00,No,
comp,0,1,IC6,TLV62595DMQR,TLV62595DMQR,161.18,-76.39,-90.00,No,
comp,0,1,IC6,TLV62595DMQR,TLV62595DMQR,161.18,-112.95,-90.00,No,
comp,0,1,IC7,TLV62595DMQR,TLV62595DMQR,116.36,-103.33,0.00,No,
comp,0,1,IC7,TLV62595DMQR,TLV62595DMQR,116.36,-66.78,0.00,No,
comp,0,1,IC8,TLV62595DMQR,TLV62595DMQR,147.72,-103.34,-90.00,No,
comp,0,1,IC8,TLV62595DMQR,TLV62595DMQR,147.72,-66.79,-90.00,No,
comp,0,1,J1,DF40HC_3.0_-50DS-0.4V_51_,DF40HC3050DS04V51,131.25,-102.14,180.00,No,
comp,0,1,J1,DF40HC_3.0_-50DS-0.4V_51_,DF40HC3050DS04V51,131.25,-65.59,180.00,No,
comp,0,1,J2,DF40HC_3.0_-50DS-0.4V_51_,DF40HC3050DS04V51,173.78,-102.15,180.00,No,
comp,0,1,J2,DF40HC_3.0_-50DS-0.4V_51_,DF40HC3050DS04V51,173.78,-65.59,180.00,No,
comp,0,1,L3,TFM201610ALC-R47MTAA,INDC2016X80N,160.31,-117.12,180.00,No,
comp,0,1,L3,TFM201610ALC-R47MTAA,INDC2016X80N,160.31,-80.56,180.00,No,
comp,0,1,L4,TFM201610ALC-R47MTAA,INDC2016X80N,120.53,-104.20,-90.00,No,
comp,0,1,L4,TFM201610ALC-R47MTAA,INDC2016X80N,120.53,-67.64,-90.00,No,
comp,0,1,L5,TFM201610ALC-R47MTAA,INDC2016X80N,146.86,-107.52,180.00,No,
comp,0,1,L5,TFM201610ALC-R47MTAA,INDC2016X80N,146.86,-70.96,180.00,No,
comp,0,1,Q1,SSM3K36MFV,L3F,0.00,184.10,-66.22,No,
comp,0,1,Q1,SSM3K36MFV,L3F,0.00,184.10,-102.78,No,
comp,0,1,Q2,SSM3K36MFV,L3F,0.00,163.75,-66.22,No,
comp,0,1,Q2,SSM3K36MFV,L3F,0.00,163.75,-102.78,No,
comp,4,1,R1,5k1,R_0402_1005Metric,174.51,-127.80,90.00,No,
comp,4,1,R1,5k1,R_0402_1005Metric,174.51,-91.24,90.00,No,
comp,4,1,R2,100k,R_0402_1005Metric,148.00,-64.94,180.00,No,
comp,0,1,R2,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,184.10,-101.31,0.00,No,
comp,0,1,R2,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,184.10,-64.75,0.00,No,
comp,4,1,R2,100k,R_0402_1005Metric,148.00,-101.50,180.00,No,
comp,4,1,R3,5k1,R_0402_1005Metric,171.50,-127.78,90.00,No,
comp,4,1,R3,5k1,R_0402_1005Metric,171.50,-91.22,90.00,No,
comp,5,1,R4,4k7,R_0402_1005Metric,134.98,-129.94,0.00,No,
comp,5,1,R4,4k7,R_0402_1005Metric,134.98,-93.39,0.00,No,
comp,0,1,R4,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,181.65,-66.44,90.00,No,
comp,0,1,R4,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,181.65,-103.00,90.00,No,
comp,0,1,R5,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,182.65,-103.00,-90.00,No,
comp,0,1,R5,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,182.65,-66.44,-90.00,No,
